pokedex_number	name
485	Heatran
721	Volcanion
494	Victini
4	Charmander
725	Litten
58	Growlithe
59	Arcanine
77	Ponyta
78	Rapidash
105	Marowak
126	Magmar
136	Flareon
776	Turtonator
155	Cyndaquil
156	Quilava
157	Typhlosion
218	Slugma
219	Magcargo
758	Salazzle
757	Salandit
240	Magby
741	Oricorio
727	Incineroar
255	Torchic
256	Combusken
257	Blaziken
322	Numel
323	Camerupt
324	Torkoal
390	Chimchar
391	Monferno
392	Infernape
467	Magmortar
37	Vulpix
6	Charizard
498	Tepig
499	Pignite
500	Emboar
513	Pansear
514	Simisear
554	Darumaka
555	Darmanitan
607	Litwick
608	Lampent
609	Chandelure
631	Heatmor
636	Larvesta
637	Volcarona
726	Torracat
653	Fennekin
654	Braixen
655	Delphox
662	Fletchinder
663	Talonflame
667	Litleo
668	Pyroar
5	Charmeleon
38	Ninetales
244	Entei
229	Houndoom
228	Houndour
146	Moltres
643	Reshiram
250	Ho-Oh
