pid	nickname	name	description	status	date_added	relevance_score
15	Bubbly	Wartortle	Wartortle who loves diving underwater.	available	2025-07-22	60
16	Blasto	Blastoise	Blastoise with powerful water cannons.	available	2025-11-01	60
3	Shellby	Squirtle	A calm Squirtle who enjoys splashing in the water.	available	2025-10-01	60
85	Snowpup	Seel	Seel who loves icy waters.	available	2025-11-08	60
59	Bloop	Poliwag	Poliwag who spins in circles.	available	2025-08-14	30
60	Swirlo	Poliwhirl	Poliwhirl with smooth moves.	available	2025-09-23	30
61	ChampWave	Poliwrath	Poliwrath with strong arms.	taken	2025-10-08	30
98	Crusher	Kingler	Kingler with massive pincers.	available	2025-09-16	20
97	Clamper	Krabby	Krabby with snappy claws.	available	2025-07-31	20
90	Shellora	Cloyster	Cloyster with a tough shell.	available	2025-10-22	20
89	Clampy	Shellder	Shellder who pinches everything.	taken	2025-09-03	20
86	Blubblub	Dewgong	Dewgong who glides through waves.	taken	2025-08-18	20
79	Slowmo	Slowbro	Slowbro who never rushes.	taken	2025-09-20	20
78	Dozer	Slowpoke	Slowpoke who enjoys relaxing.	available	2025-11-06	20
72	Jelly	Tentacruel	Tentacruel who guards the seas.	available	2025-08-16	20
71	StingRay	Tentacool	Tentacool who floats peacefully.	available	2025-09-11	20
54	WaveBrain	Golduck	Golduck who swims gracefully.	available	2025-09-13	20
53	Duckster	Psyduck	Psyduck with mysterious headaches.	taken	2025-07-12	20
