pokedex_number	name
485	Heatran
494	Victini
721	Volcanion
636	Larvesta
637	Volcarona
631	Heatmor
609	Chandelure
608	Lampent
607	Litwick
555	Darmanitan
554	Darumaka
514	Simisear
513	Pansear
500	Emboar
499	Pignite
498	Tepig
4	Charmander
467	Magmortar
653	Fennekin
654	Braixen
655	Delphox
662	Fletchinder
663	Talonflame
667	Litleo
668	Pyroar
725	Litten
726	Torracat
727	Incineroar
741	Oricorio
757	Salandit
758	Salazzle
776	Turtonator
391	Monferno
5	Charmeleon
6	Charizard
37	Vulpix
38	Ninetales
58	Growlithe
59	Arcanine
77	Ponyta
78	Rapidash
105	Marowak
126	Magmar
136	Flareon
155	Cyndaquil
156	Quilava
157	Typhlosion
392	Infernape
219	Magcargo
240	Magby
218	Slugma
255	Torchic
256	Combusken
257	Blaziken
322	Numel
323	Camerupt
324	Torkoal
390	Chimchar
228	Houndour
229	Houndoom
146	Moltres
244	Entei
250	Ho-Oh
643	Reshiram
