pid	pokedex_number	action_type	log_date
85	86	adopt	2025-11-08
64	65	adopt	2025-11-03
39	34	adopt	2025-11-02
16	9	adopt	2025-11-02
45	44	adopt	2025-11-02
50	49	adopt	2025-11-01
105	106	adopt	2025-11-01
74	75	adopt	2025-10-30
100	101	adopt	2025-10-29
82	83	adopt	2025-10-27
63	64	adopt	2025-10-25
95	96	adopt	2025-10-24
57	58	adopt	2025-10-22
98	99	adopt	2025-10-20
88	89	adopt	2025-10-19
99	100	adopt	2025-10-16
1	1	adopt	2025-10-15
92	93	adopt	2025-10-15
10	151	adopt	2025-10-15
89	90	adopt	2025-10-14
58	59	adopt	2025-10-14
